No,Name,Floor,Cabinet,Loop,IP,ID,Port,Interval
14,EPB1-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,16,502,
15,EDB4-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,15,502,
16,LP6-S,4,DB3-S(DM),DML-1-S,192.168.1.86,14,502,
17,LP5-S,4,DB3-S(DM),DML-1-S,192.168.1.86,13,502,
18,LP4-S,4,DB3-S(DM),DML-1-S,192.168.1.86,12,502,
19,DB4-S,4,DB3-S(DM),DML-1-S,192.168.1.86,11,502,10Sec
20,LP5-LTG-S,5,,DML-1-S,192.168.1.86,2,502,
21,EP5-LTG-S,5,,DML-1-S,192.168.1.86,1,502,
22,EP2-LTG-S,2,,DML-1-S,192.168.1.86,22,502,
23,EPB1-LTG-S,1,,DML-1-S,192.168.1.86,23,502,
24,LP6-LTG-S,6,,DML-2-S,192.168.1.86,24,502,
25,EP6-LTG-S,6,,DML-2-S,192.168.1.86,25,502,
26,LP7-LTG-S,7,,DML-2-S,192.168.1.86,,502,
27,EP7-LTG-S,7,,DML-2-S,192.168.1.86,27,502,
28,EDB7-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,28,502,
29,EP7-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,29,502,
30,EP8-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,30,502,
31,EP9-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,31,502,
32,DB7-S,7,DB7-S(DM),DML-2-S,192.168.1.86,32,502,
33,LP7/1-S,7,DB7-S(DM),DML-2-S,192.168.1.86,33,502,
34,LP7/2-S,7,DB7-S(DM),DML-2-S,192.168.1.86,34,502,
35,LP7/3-S,7,DB7-S(DM),DML-2-S,192.168.1.86,35,502,
36,LP8/1-S,7,DB7-S(DM),DML-2-S,192.168.1.86,36,502,
37,LP8/2-S,7,DB7-S(DM),DML-2-S,192.168.1.86,37,502,
,LP9-LTG-S,,,,192.168.1.86,45,502,
38,LP9/S,7,DB7-S(DM),DML-2-S,192.168.1.86,38,502,
39,LP8-LTG-S,8,,DML-2-S,192.168.1.86,39,502,
40,EP8-LTG-S,8,,DML-2-S,192.168.1.86,40,502,
41,A/C 1-1,9,AMCC-01(DM),DML-2-S,192.168.1.86,41,502,
42,A/C 1-2,9,AMCC-02(DM),DML-2-S,192.168.1.86,42,502,
,A/C 2-1,,,,192.168.1.86,43,502,
,A/C 2-2,,,,192.168.1.86,44,502,
44,DBG-H,G,,DML-1-H,192.168.1.98,1,502,
45,LPG-H,G,DBG-H(DM),DML-1-H,192.168.1.98,2,502,
46,LPB1-H,G,DBG-H(DM),DML-1-H,192.168.1.98,3,502,
47,LPB2-H,G,DBG-H(DM),DML-1-H,192.168.1.98,4,502,
48,LPG-LTG-H,G,,DML-1-H,192.168.1.98,5,502,
49,EDBG-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,6,502,
50,EPG-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,7,502,
51,EPB1-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,8,502,
52,EPB2-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,9,502,
53,EPG-LTG-H,G,,DML-1-H,192.168.1.98,10,502,
54,DB1/1-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,11,502,
55,LP1/1-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,12,502,
56,LP1/2-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,13,502,
57,LP1/3-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,14,502,
58,LP1/3-LTG-H,1,,DML-1-H,192.168.1.98,15,502,
59,EDB1/1-H,1,EDB1/1-H(DM),DML-1-H,192.168.1.98,16,502,
60,EP1/1-H,1,EDB1/1-H(DM),DML-1-H,192.168.1.98,17,502,
61,EP1/2-H,1,EDB1/1-H(DM),DML-1-H,192.168.1.98,18,502,
62,EP1/1-LTG-H,1,,DML-1-H,192.168.1.98,19,502,
63,EP1/2-LTG-H,1,,DML-1-H,192.168.1.98,20,502,
64,DB1/2-H,1,DB1/2-H(DM),DML-1-H,192.168.1.98,21,502,
65,LP1/4-H,1,DB1/2-H(DM),DML-1-H,192.168.1.98,22,502,
66,LP1/2-OAU,1,DB1/2-H(DM),DML-1-H,192.168.1.98,23,502,
67,EDB1/2-H,1,EDB1/2-H(DM),DML-1-H,192.168.1.98,24,502,
68,EP1/3,1,EDB1/2-H(DM),DML-1-H,192.168.1.98,25,502,
69,EP1/4,1,EDB1/2-H(DM),DML-1-H,192.168.1.98,26,502,
70,DB2/1-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,27,502,
71,LP2/1-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,28,502,
72,LP2/2-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,29,502,
73,LP2/3-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,30,502,
74,LP2/3-LTG-H,2,,DML-2-H,192.168.1.98,31,502,
75,EDB2/1-H,2,EDB2/1-H(DM),DML-2-H,192.168.1.98,32,502,
76,EP2/1-H,2,EDB2/1-H(DM),DML-2-H,192.168.1.98,33,502,
77,EP2/2-H,2,EDB2/1-H(DM),DML-2-H,192.168.1.98,34,502,
78,EP2/1-LTG-H,2,,DML-2-H,192.168.1.98,35,502,
79,EP2/2-LTG-H,2,,DML-2-H,192.168.1.98,36,502,
80,DB2/2-H,2,DB2/2-H(DM),DML-2-H,192.168.1.98,37,502,
81,LP2/4-H,2,DB2/2-H(DM),DML-2-H,192.168.1.98,38,502,
82,LP2/5-H,2,DB2/2-H(DM),DML-2-H,192.168.1.98,39,502,
83,EDB2/2-H,2,EDB2/2-H(DM),DML-2-H,192.168.1.98,40,502,
84,EP2/3,2,EDB2/2-H(DM),DML-2-H,192.168.1.98,41,502,
85,EP2/4,2,EDB2/2-H(DM),DML-2-H,192.168.1.98,42,502,
86,EP2U-H,2,,DML-2-H,192.168.1.98,43,502,
87,DBX2-H,2,,DML-2-H,192.168.1.98,44,502,
88,EDBX2-H,2,,DML-2-H,192.168.1.98,45,502,
89,DB2-OAU,2,DB2-OAU(DM),DML-2-H,192.168.1.98,46,502,
93,DB3-H,3,DB3-H(DM),DML-3-H,192.168.1.97,1,502,
94,LP3/1-H,3,DB3-H(DM),DML-3-H,192.168.1.97,2,502,
95,LP3/2-H,3,DB3-H(DM),DML-3-H,192.168.1.97,3,502,
96,LP3/3-H,3,DB3-H(DM),DML-3-H,192.168.1.97,4,502,
97,LP3/4-H,3,DB3-H(DM),DML-3-H,192.168.1.97,5,502,
98,LP3/5-H,3,DB3-H(DM),DML-3-H,192.168.1.97,6,502,
99,LP3/1-LTG-H,3,,DML-3-H,192.168.1.97,7,502,
100,LP3/2-LTG-H,3,,DML-3-H,192.168.1.97,8,502,
101,EDB3-H,3,EDB3-H(DM),DML-3-H,192.168.1.97,9,502,
102,EP3/1-H,3,EDB3-H(DM),DML-3-H,192.168.1.97,10,502,
103,EP3/2-H,3,EDB3-H(DM),DML-3-H,192.168.1.97,11,502,
104,EP3/3-H,3,EDB3-H(DM),DML-3-H,192.168.1.97,12,502,
105,EP3/4-H,3,EDB3-H(DM),DML-3-H,192.168.1.97,13,502,
106,EP3/4-LTG-H,3,,DML-3-H,192.168.1.97,14,502,
107,DB4-H,4,DB4-H(DM),DML-4-H,192.168.1.97,15,502,
108,LP4/1-H,4,DB4-H(DM),DML-4-H,192.168.1.97,16,502,
109,LP4/2-H,4,DB4-H(DM),DML-4-H,192.168.1.97,17,502,
110,LP4/3-H,4,DB4-H(DM),DML-4-H,192.168.1.97,18,502,
111,LP4/4-H,4,DB4-H(DM),DML-4-H,192.168.1.97,19,502,
112,LP4/5-H,4,DB4-H(DM),DML-4-H,192.168.1.97,20,502,
113,LP4/1-LTG-H,4,,DML-4-H,192.168.1.97,21,502,
114,LP4/2-LTG-H,4,,DML-4-H,192.168.1.97,22,502,
115,EDB4-H,4,EDB4-H(DM),DML-4-H,192.168.1.97,23,502,
116,EP4/1-H,4,EDB4-H(DM),DML-4-H,192.168.1.97,24,502,
117,EP4/2-H,4,EDB4-H(DM),DML-4-H,192.168.1.97,25,502,
118,EP4/3-H,4,EDB4-H(DM),DML-4-H,192.168.1.97,26,502,
119,EP4/4-H,4,EDB4-H(DM),DML-4-H,192.168.1.97,27,502,
120,EP4/1-LTG-H,4,,DML-4-H,192.168.1.97,28,502,
121,EP4/2-LTG-H,4,,DML-4-H,192.168.1.97,29,502,
122,EP4/4-LTG-H,4,,DML-4-H,192.168.1.97,30,502,
123,DB5-H,5,DB5-H(DM),DML-5-H,192.168.1.96,1,502,
124,LP5/1-H,5,DB5-H(DM),DML-5-H,192.168.1.96,2,502,
125,LP5/2-H,5,DB5-H(DM),DML-5-H,192.168.1.96,3,502,
126,LP5/3-H,5,DB5-H(DM),DML-5-H,192.168.1.96,4,502,
127,LP5/4-H,5,DB5-H(DM),DML-5-H,192.168.1.96,5,502,
128,LP5/5-H,5,DB5-H(DM),DML-5-H,192.168.1.96,6,502,
129,LP5/1-LTG-H,5,,DML-5-H,192.168.1.96,7,502,
130,LP5/2-LTG-H,5,,DML-5-H,192.168.1.96,8,502,
131,EDB5-H,5,EDB5-H(DM),DML-5-H,192.168.1.96,9,502,
132,EP5/1-H,5,EDB5-H(DM),DML-5-H,192.168.1.96,10,502,
133,EP5/2-H,5,EDB5-H(DM),DML-5-H,192.168.1.96,11,502,
134,EP5/3-H,5,EDB5-H(DM),DML-5-H,192.168.1.96,12,502,
135,EP5/4-H,5,EDB5-H(DM),DML-5-H,192.168.1.96,13,502,
136,EP5/2-LTG-H,5,,DML-5-H,192.168.1.96,14,502,
137,EP5/4-LTG-H,5,,DML-5-H,192.168.1.96,15,502,
138,DB5-OAU,5,DB5-OAU(DM),DML-5-H,192.168.1.96,16,502,
139,LP4-OAU,5,DB5-OAU(DM),DML-5-H,192.168.1.96,17,502,
140,LP5-OAU,5,DB5-OAU(DM),DML-5-H,192.168.1.96,18,502,
141,LP6/1-OAU,5,DB5-OAU(DM),DML-5-H,192.168.1.96,19,502,
142,LP6/2-OAU,5,DB5-OAU(DM),DML-5-H,192.168.1.96,20,502,
143,DB6-H,6,DB6-H(DM),DML-6-H,192.168.1.96,21,502,
144,LP6/1-H,6,DB6-H(DM),DML-6-H,192.168.1.96,22,502,
145,LP6/2-H,6,DB6-H(DM),DML-6-H,192.168.1.96,23,502,
146,LP6/3-H,6,DB6-H(DM),DML-6-H,192.168.1.96,24,502,
147,LP6/4-H,6,DB6-H(DM),DML-6-H,192.168.1.96,25,502,
148,LP6/5-H,6,DB6-H(DM),DML-6-H,192.168.1.96,26,502,
149,LP6/6-H,6,DB6-H(DM),DML-6-H,192.168.1.96,27,502,
150,LP6/1-LTG-H,6,,DML-6-H,192.168.1.96,28,502,
151,LP6/2-LTG-H,6,,DML-6-H,192.168.1.96,29,502,
152,LP6/5-LTG-H,6,,DML-6-H,192.168.1.96,30,502,
153,LP6/6-LTG-H,6,,DML-6-H,192.168.1.96,31,502,
154,EDB6-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,32,502,
155,EP6/1-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,33,502,
156,EP6/2-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,34,502,
157,EP6/3-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,35,502,
158,EP6/4-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,36,502,
159,EP6/5-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,37,502,
160,EP6/6-H,6,EDB6-H(DM),DML-6-H,192.168.1.96,38,502,
161,EP6/2-LTG-H,6,,DML-6-H,192.168.1.96,39,502,
162,EP6/5-LTG-H,6,,DML-6-H,192.168.1.96,40,502,
163,EP6/6-LTG-H,6,,DML-6-H,192.168.1.96,41,502,
164,DB7-H,7,DB7-H(DM),DML-7-H,192.168.1.95,1,502,
165,LP7/1-H,7,DB7-H(DM),DML-7-H,192.168.1.95,2,502,
166,LP7/2-H,7,DB7-H(DM),DML-7-H,192.168.1.95,3,502,
167,LP7/3-H,7,DB7-H(DM),DML-7-H,192.168.1.95,4,502,
168,LP7/4-H,7,DB7-H(DM),DML-7-H,192.168.1.95,5,502,
169,LP7/5-H,7,DB7-H(DM),DML-7-H,192.168.1.95,6,502,
170,LP7/6-H,7,DB7-H(DM),DML-7-H,192.168.1.95,7,502,
171,LP7/1-LTG-H,7,,DML-7-H,192.168.1.95,8,502,
172,LP7/2-LTG-H,7,,DML-7-H,192.168.1.95,9,502,
173,LP7/3-LTG-H,7,,DML-7-H,192.168.1.95,10,502,
174,LP7/4-LTG-H,7,,DML-7-H,192.168.1.95,11,502,
